SELECT sum("disk_ioutil") AS "sum_disk_ioutil" FROM ( SELECT mean("disk_ioutil") AS "disk_ioutil" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584540200s AND time <= 1584540270s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_disk_ioutil
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540231000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540232000000000,41
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540233000000000,41
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540234000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540235000000000,38
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540236000000000,41
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540237000000000,25
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540238000000000,34
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540239000000000,36
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540240000000000,35
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540241000000000,38
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540242000000000,37
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540243000000000,38
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540244000000000,40
kvmtop.domains,UUID=ab22bcbd-413f-4c2c-b6f9-3b04f4a38ad8,1584540245000000000,39
