SELECT sum("cpu_total") AS "sum_cpu_total" FROM ( SELECT mean("cpu_total") AS "cpu_total" FROM "kvmtop"."autogen"."kvmtop.domains" WHERE time >= 1584537206s AND time <= 1584537276s GROUP BY time(1s), "UUID" FILL(null) ) GROUP BY time(1s), "UUID" FILL(none)
name,tags,time,sum_cpu_total
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537220000000000,94
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537221000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537222000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537223000000000,94
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537224000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537225000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537226000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537227000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537228000000000,99
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537229000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537230000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537231000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537232000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537233000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537234000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537235000000000,81
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537236000000000,85
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537238000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537239000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537240000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537241000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537242000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537243000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537244000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537245000000000,87
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537246000000000,86
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537247000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537248000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537249000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537250000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537251000000000,83
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537252000000000,92
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537253000000000,93
kvmtop.domains,UUID=47d1a868-d77a-45bc-be91-e6a1d725f9a3,1584537254000000000,93
